Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Sex upon Outcome,Age upon Outcome,binary_outcome,index,intake_am_pm,intake_time,percent,domesticIndex,season,time_spend_shelter
Pflugerville (TX),Owner Surrender,Normal,Dog,Spayed Female,72,others,Spayed Female,72,0.0,729,AM,2014-12-13,0.21691973969631237,1.0,Quarter 3,10.0
Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,60,Domestic Shorthair Mix,Spayed Female,60,0.0,730,PM,2018-03-18,0.38461538461538464,1.0,Quarter 1,3.0
Del Valle (TX),Stray,Nursing,Dog,Intact Female,0,others,Spayed Female,2,0.0,731,AM,2018-07-03,0.21691973969631237,0.43200000000000005,Quarter 2,70.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,others,Spayed Female,1,0.0,732,PM,2016-05-12,0.21691973969631237,0.54,Quarter 2,6.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Spayed Female,1,0.0,733,PM,2016-03-27,0.38461538461538464,0.54,Quarter 1,5.0
Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1,Domestic Medium Hair Mix,Neutered Male,1,0.0,734,PM,2019-06-01,2.857142857142857,0.6,Quarter 2,6.0
Austin (TX),Stray,Normal,Dog,Spayed Female,24,others,Spayed Female,24,0.0,735,AM,2014-05-26,0.21691973969631237,0.9,Quarter 2,0.0
Austin (TX),Stray,Normal,Dog,Spayed Female,6,German Shepherd Mix,Spayed Female,6,0.0,736,PM,2015-11-22,4.166666666666666,0.9,Quarter 3,5.0
Austin (TX),Stray,Normal,Cat,Unknown,1,Domestic Shorthair Mix,Unknown,1,0.0,737,AM,2016-10-18,0.38461538461538464,0.36000000000000004,Quarter 3,0.0
Austin (TX),Stray,Normal,Dog,Intact Female,96,others,Intact Female,96,0.0,738,PM,2017-02-05,0.21691973969631237,0.54,Quarter 1,4.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Intact Female,1,0.0,739,AM,2015-06-13,0.38461538461538464,0.54,Quarter 2,1.0
Austin (TX),Owner Surrender,Normal,Cat,Intact Female,2,Domestic Shorthair Mix,Spayed Female,2,0.0,740,AM,2016-07-17,0.38461538461538464,0.6,Quarter 2,5.0
Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,36,others,Spayed Female,36,0.0,741,AM,2018-11-10,0.21691973969631237,1.0,Quarter 3,2.0
Austin (TX),Stray,Normal,Dog,Neutered Male,84,others,Neutered Male,84,0.0,742,AM,2015-08-24,0.21691973969631237,0.9,Quarter 2,127.0
Manor (TX),Stray,Normal,Dog,Intact Female,1,others,Spayed Female,1,0.0,743,PM,2015-05-19,0.21691973969631237,0.54,Quarter 2,7.0
Austin (TX),Stray,Normal,Dog,Intact Female,24,Chihuahua Shorthair Mix,Intact Female,24,0.0,744,AM,2017-10-13,1.694915254237288,0.54,Quarter 3,3.0
Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,24,Pit Bull,Spayed Female,24,0.0,745,PM,2019-10-14,14.285714285714285,1.0,Quarter 3,47.0
Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,36,Domestic Shorthair Mix,Spayed Female,36,0.0,746,PM,2016-03-31,0.38461538461538464,1.0,Quarter 1,4.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Intact Female,1,0.0,747,PM,2017-05-13,0.38461538461538464,0.54,Quarter 2,3.0
Austin (TX),Stray,Normal,Other,Unknown,24,others,Unknown,24,1.0,748,PM,2017-02-23,0.21691973969631237,0.10800000000000001,Quarter 1,1.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Spayed Female,2,0.0,749,PM,2018-04-20,0.38461538461538464,0.54,Quarter 1,56.0
