Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Sex upon Outcome,Age upon Outcome,binary_outcome,index,intake_am_pm,intake_time,percent,domesticIndex,season,time_spend_shelter
Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1,Chihuahua Shorthair Mix,Neutered Male,2,0.0,841,AM,2019-05-01,1.694915254237288,0.6,Quarter 2,4.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Spayed Female,2,0.0,842,PM,2017-10-25,0.38461538461538464,0.54,Quarter 3,54.0
Austin (TX),Stray,Normal,Dog,Neutered Male,108,others,Neutered Male,108,0.0,843,PM,2016-04-27,0.21691973969631237,0.9,Quarter 1,1.0
Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,24,others,Neutered Male,24,0.0,844,AM,2014-02-19,0.21691973969631237,1.0,Quarter 1,0.0
Pflugerville (TX),Stray,Normal,Dog,Spayed Female,36,others,Spayed Female,36,0.0,845,PM,2013-11-08,0.21691973969631237,0.9,Quarter 3,1.0
Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,60,German Shepherd Mix,Neutered Male,60,0.0,846,AM,2016-03-26,4.166666666666666,1.0,Quarter 1,1.0
Austin (TX),Stray,Normal,Dog,Neutered Male,72,others,Neutered Male,72,0.0,847,PM,2020-01-19,0.21691973969631237,0.9,Quarter 1,0.0
Austin (TX),Stray,Normal,Dog,Intact Female,1,Labrador Retriever Mix,Intact Female,1,0.0,848,AM,2017-01-15,2.0,0.54,Quarter 1,1.0
Austin (TX),Stray,Normal,Cat,Intact Male,0,Domestic Shorthair Mix,Intact Male,0,0.0,849,AM,2016-04-28,0.38461538461538464,0.54,Quarter 1,0.0
Austin (TX),Public Assist,Normal,Dog,Neutered Male,60,Chihuahua Shorthair Mix,Neutered Male,72,0.0,850,PM,2017-12-24,1.694915254237288,0.8,Quarter 3,532.0
Austin (TX),Stray,Normal,Cat,Spayed Female,48,Domestic Shorthair Mix,Spayed Female,48,0.0,851,PM,2017-07-16,0.38461538461538464,0.9,Quarter 2,1.0
Austin (TX),Stray,Normal,Cat,Intact Male,1,Domestic Shorthair Mix,Neutered Male,1,0.0,852,PM,2014-02-10,0.38461538461538464,0.54,Quarter 1,6.0
Pflugerville (TX),Owner Surrender,Normal,Dog,Neutered Male,1,others,Neutered Male,1,0.0,853,PM,2015-07-22,0.21691973969631237,1.0,Quarter 2,10.0
Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,7,Labrador Retriever Mix,Spayed Female,7,0.0,854,AM,2016-04-19,2.0,1.0,Quarter 1,4.0
Austin (TX),Stray,Normal,Cat,Intact Female,11,Domestic Shorthair Mix,Intact Female,11,0.0,855,PM,2018-06-13,0.38461538461538464,0.54,Quarter 2,4.0
Austin (TX),Stray,Normal,Dog,Intact Male,24,others,Neutered Male,24,0.0,856,AM,2017-05-18,0.21691973969631237,0.54,Quarter 2,11.0
Austin (TX),Stray,Normal,Dog,Spayed Female,168,others,Spayed Female,168,0.0,857,PM,2019-04-08,0.21691973969631237,0.9,Quarter 1,0.0
Manor (TX),Public Assist,Sick,Dog,Neutered Male,96,others,Neutered Male,96,0.0,858,AM,2015-07-06,0.21691973969631237,0.16000000000000003,Quarter 2,11.0
Austin (TX),Stray,Normal,Cat,Neutered Male,7,Domestic Shorthair Mix,Neutered Male,8,0.0,859,AM,2018-10-09,0.38461538461538464,0.9,Quarter 3,6.0
Austin (TX),Stray,Normal,Dog,Intact Male,1,others,Intact Male,1,0.0,860,PM,2019-02-21,0.21691973969631237,0.54,Quarter 1,8.0
Austin (TX),Stray,Nursing,Cat,Unknown,1,Domestic Shorthair Mix,Unknown,1,0.0,861,AM,2019-03-20,0.38461538461538464,0.28800000000000003,Quarter 1,6.0
Austin (TX),Owner Surrender,Normal,Dog,Intact Female,6,Pit Bull Mix,Intact Female,7,0.0,862,AM,2017-06-29,1.5384615384615385,0.6,Quarter 2,15.0
Austin (TX),Stray,Normal,Dog,Intact Male,24,others,Neutered Male,24,0.0,863,PM,2017-05-26,0.21691973969631237,0.54,Quarter 2,4.0
Austin (TX),Stray,Normal,Cat,Intact Male,1,Domestic Shorthair Mix,Intact Male,2,0.0,864,PM,2014-06-01,0.38461538461538464,0.54,Quarter 2,36.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Spayed Female,1,0.0,865,PM,2017-11-30,0.38461538461538464,0.54,Quarter 3,31.0
Travis (TX),Stray,Normal,Dog,Intact Female,1,Chihuahua Shorthair Mix,Intact Female,1,1.0,866,PM,2013-10-14,1.694915254237288,0.54,Quarter 3,0.0
Austin (TX),Stray,Normal,Cat,Intact Male,1,Domestic Shorthair Mix,Neutered Male,2,0.0,867,PM,2015-08-07,0.38461538461538464,0.54,Quarter 2,28.0
Austin (TX),Stray,Normal,Cat,Intact Male,1,Domestic Shorthair Mix,Neutered Male,3,0.0,868,PM,2016-05-31,0.38461538461538464,0.54,Quarter 2,66.0
Austin (TX),Stray,Normal,Dog,Intact Male,96,German Shepherd Mix,Neutered Male,96,0.0,869,PM,2016-01-05,4.166666666666666,0.54,Quarter 1,32.0
Austin (TX),Stray,Normal,Cat,Intact Female,0,others,Spayed Female,3,0.0,870,PM,2014-07-04,0.21691973969631237,0.54,Quarter 2,107.0
Austin (TX),Stray,Normal,Cat,Intact Male,0,Domestic Shorthair Mix,Intact Male,2,0.0,871,PM,2014-03-17,0.38461538461538464,0.54,Quarter 1,71.0
Austin (TX),Stray,Normal,Cat,Intact Male,1,Domestic Medium Hair Mix,Intact Male,1,0.0,872,PM,2014-06-15,2.857142857142857,0.54,Quarter 2,1.0
Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,7,others,Spayed Female,8,0.0,873,PM,2017-02-02,0.21691973969631237,1.0,Quarter 1,19.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Intact Female,1,1.0,874,PM,2015-06-01,0.38461538461538464,0.54,Quarter 2,14.0
Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,144,others,Spayed Female,144,0.0,875,PM,2018-04-07,0.21691973969631237,1.0,Quarter 1,1.0
Austin (TX),Wildlife,Injured,Other,Intact Female,1,others,Intact Female,1,1.0,876,PM,2015-03-22,0.21691973969631237,0.0,Quarter 1,0.0
Austin (TX),Wildlife,Normal,Other,Unknown,1,others,Unknown,1,1.0,877,PM,2014-11-29,0.21691973969631237,0.0,Quarter 3,2.0
Austin (TX),Stray,Normal,Cat,Unknown,0,Domestic Shorthair Mix,Unknown,0,0.0,878,PM,2016-04-23,0.38461538461538464,0.36000000000000004,Quarter 1,0.0
Austin (TX),Stray,Normal,Dog,Neutered Male,36,Chihuahua Shorthair Mix,Neutered Male,36,0.0,879,AM,2017-09-18,1.694915254237288,0.9,Quarter 3,1.0
Austin (TX),Public Assist,Normal,Dog,Intact Male,24,Pit Bull Mix,Neutered Male,24,0.0,880,PM,2019-03-28,1.5384615384615385,0.48,Quarter 1,55.0
Austin (TX),Stray,Normal,Dog,Intact Male,4,others,Intact Male,5,0.0,881,AM,2018-11-25,0.21691973969631237,0.54,Quarter 3,30.0
Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2,others,Neutered Male,2,0.0,882,PM,2015-10-30,0.21691973969631237,1.0,Quarter 3,11.0
Austin (TX),Stray,Other,Cat,Unknown,1,Domestic Shorthair Mix,Unknown,1,0.0,883,AM,2018-05-11,0.38461538461538464,0.14400000000000002,Quarter 2,0.0
Austin (TX),Owner Surrender,Normal,Cat,Intact Female,2,Domestic Shorthair Mix,Intact Female,2,0.0,884,PM,2017-01-16,0.38461538461538464,0.6,Quarter 1,2.0
Austin (TX),Stray,Injured,Cat,Intact Female,1,others,Intact Female,2,0.0,885,PM,2019-10-13,0.21691973969631237,0.10800000000000001,Quarter 3,10.0
Austin (TX),Stray,Normal,Dog,Intact Female,3,others,Spayed Female,3,0.0,886,PM,2014-09-19,0.21691973969631237,0.54,Quarter 3,4.0
Austin (TX),Stray,Normal,Dog,Intact Female,1,others,Spayed Female,2,0.0,887,PM,2015-06-15,0.21691973969631237,0.54,Quarter 2,5.0
Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,156,others,Spayed Female,168,0.0,888,AM,2014-02-11,0.21691973969631237,1.0,Quarter 1,155.0
Austin (TX),Stray,Normal,Dog,Neutered Male,36,Pit Bull Mix,Neutered Male,36,0.0,889,PM,2019-04-20,1.5384615384615385,0.9,Quarter 1,0.0
Austin (TX),Wildlife,Normal,Other,Unknown,5,others,Unknown,5,1.0,890,PM,2014-08-03,0.21691973969631237,0.0,Quarter 2,1.0
Austin (TX),Stray,Normal,Dog,Intact Female,1,others,Spayed Female,1,0.0,891,PM,2019-09-03,0.21691973969631237,0.54,Quarter 3,4.0
Lago Vista (TX),Stray,Nursing,Dog,Intact Female,1,others,Intact Female,1,0.0,892,PM,2014-04-27,0.21691973969631237,0.43200000000000005,Quarter 1,3.0
Austin (TX),Stray,Normal,Cat,Intact Female,2,Domestic Shorthair Mix,Intact Female,2,0.0,893,PM,2015-08-26,0.38461538461538464,0.54,Quarter 2,3.0
Austin (TX),Stray,Normal,Dog,Intact Female,1,Labrador Retriever Mix,Spayed Female,1,0.0,894,PM,2016-07-09,2.0,0.54,Quarter 2,4.0
Travis (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Spayed Female,2,0.0,895,AM,2016-10-20,0.38461538461538464,0.54,Quarter 3,23.0
Austin (TX),Stray,Normal,Cat,Intact Male,1,others,Neutered Male,2,0.0,896,PM,2019-05-30,0.21691973969631237,0.54,Quarter 2,44.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,others,Spayed Female,1,0.0,897,AM,2018-06-08,0.21691973969631237,0.54,Quarter 2,8.0
Austin (TX),Stray,Normal,Dog,Intact Female,36,others,Spayed Female,36,0.0,898,PM,2015-02-16,0.21691973969631237,0.54,Quarter 1,57.0
Austin (TX),Stray,Nursing,Cat,Intact Female,1,Domestic Shorthair Mix,Intact Female,1,0.0,899,PM,2014-10-23,0.38461538461538464,0.43200000000000005,Quarter 3,1.0
Leander (TX),Owner Surrender,Normal,Dog,Intact Female,2,Pit Bull Mix,Spayed Female,2,0.0,900,PM,2014-09-08,1.5384615384615385,0.6,Quarter 3,1.0
Austin (TX),Stray,Normal,Cat,Intact Male,1,Domestic Shorthair Mix,Neutered Male,1,0.0,901,PM,2018-05-26,0.38461538461538464,0.54,Quarter 2,5.0
Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1,others,Neutered Male,1,0.0,902,PM,2017-11-04,0.21691973969631237,1.0,Quarter 3,16.0
Pflugerville (TX),Stray,Normal,Dog,Intact Female,3,Labrador Retriever Mix,Spayed Female,4,0.0,903,PM,2017-04-07,2.0,0.54,Quarter 1,6.0
Austin (TX),Stray,Normal,Dog,Neutered Male,60,others,Neutered Male,60,0.0,904,PM,2016-10-01,0.21691973969631237,0.9,Quarter 3,3.0
Austin (TX),Stray,Normal,Dog,Intact Female,24,German Shepherd Mix,Spayed Female,24,0.0,905,PM,2017-12-07,4.166666666666666,0.54,Quarter 3,5.0
Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,24,Labrador Retriever Mix,Spayed Female,24,0.0,906,PM,2014-07-21,2.0,1.0,Quarter 2,2.0
Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,36,others,Neutered Male,36,0.0,907,AM,2016-05-25,0.21691973969631237,1.0,Quarter 2,70.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Spayed Female,8,0.0,908,PM,2015-05-21,0.38461538461538464,0.54,Quarter 2,231.0
Austin (TX),Stray,Nursing,Cat,Unknown,0,Domestic Shorthair Mix,Unknown,0,0.0,909,PM,2016-05-01,0.38461538461538464,0.28800000000000003,Quarter 2,1.0
Austin (TX),Wildlife,Sick,Other,Unknown,1,others,Unknown,1,1.0,910,PM,2014-03-22,0.21691973969631237,0.0,Quarter 1,0.0
Austin (TX),Stray,Normal,Dog,Neutered Male,24,others,Neutered Male,24,0.0,911,AM,2019-12-31,0.21691973969631237,0.9,Quarter 3,15.0
Austin (TX),Public Assist,Normal,Dog,Intact Male,24,Pit Bull Mix,Intact Male,24,0.0,912,PM,2014-08-06,1.5384615384615385,0.48,Quarter 2,14.0
Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3,Domestic Shorthair Mix,Spayed Female,5,0.0,913,AM,2016-07-11,0.38461538461538464,0.6,Quarter 2,62.0
Austin (TX),Stray,Injured,Cat,Intact Female,24,Domestic Shorthair Mix,Intact Female,24,1.0,914,AM,2015-11-08,0.38461538461538464,0.10800000000000001,Quarter 3,4.0
Austin (TX),Stray,Injured,Dog,Intact Male,4,others,Neutered Male,5,0.0,915,PM,2017-06-03,0.21691973969631237,0.10800000000000001,Quarter 2,7.0
Austin (TX),Stray,Normal,Dog,Intact Male,36,Pit Bull Mix,Neutered Male,36,0.0,916,PM,2013-10-08,1.5384615384615385,0.54,Quarter 3,77.0
Austin (TX),Stray,Normal,Dog,Intact Male,1,others,Neutered Male,1,0.0,917,PM,2019-02-25,0.21691973969631237,0.54,Quarter 1,8.0
Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1,others,Spayed Female,1,0.0,918,AM,2019-08-04,0.21691973969631237,1.0,Quarter 2,0.0
Travis (TX),Stray,Normal,Dog,Intact Female,11,others,Intact Female,1,0.0,919,PM,2015-12-02,0.21691973969631237,0.54,Quarter 3,1.0
Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,108,others,Neutered Male,108,0.0,920,PM,2018-08-18,0.21691973969631237,1.0,Quarter 2,15.0
Austin (TX),Wildlife,Normal,Other,Unknown,24,others,Unknown,24,1.0,921,PM,2017-03-16,0.21691973969631237,0.0,Quarter 1,0.0
Austin (TX),Stray,Normal,Dog,Spayed Female,36,others,Spayed Female,36,0.0,922,AM,2017-10-22,0.21691973969631237,0.9,Quarter 3,0.0
Austin (TX),Owner Surrender,Normal,Cat,Intact Female,4,others,Spayed Female,4,0.0,923,PM,2019-12-02,0.21691973969631237,0.6,Quarter 3,16.0
Travis (TX),Stray,Sick,Cat,Intact Male,2,Domestic Shorthair Mix,Intact Male,3,0.0,924,PM,2014-07-24,0.38461538461538464,0.10800000000000001,Quarter 2,4.0
Austin (TX),Stray,Normal,Cat,Intact Male,1,Domestic Shorthair Mix,Intact Male,1,0.0,925,PM,2016-08-31,0.38461538461538464,0.54,Quarter 2,8.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Intact Female,1,0.0,926,AM,2017-09-11,0.38461538461538464,0.54,Quarter 3,4.0
Austin (TX),Stray,Normal,Dog,Intact Male,10,Chihuahua Shorthair Mix,Intact Male,10,0.0,927,PM,2016-05-11,1.694915254237288,0.54,Quarter 2,4.0
Austin (TX),Stray,Sick,Cat,Spayed Female,60,Domestic Shorthair Mix,Spayed Female,60,1.0,928,AM,2018-04-18,0.38461538461538464,0.18000000000000002,Quarter 1,3.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,others,Intact Female,1,0.0,929,AM,2019-06-17,0.21691973969631237,0.54,Quarter 2,6.0
Austin (TX),Euthanasia Request,Sick,Dog,Intact Male,48,Pit Bull Mix,Intact Male,48,1.0,930,AM,2015-08-08,1.5384615384615385,0.0,Quarter 2,0.0
Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,10,Chihuahua Shorthair Mix,Neutered Male,10,0.0,931,PM,2019-04-01,1.694915254237288,1.0,Quarter 1,3.0
Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,36,Pit Bull Mix,Spayed Female,36,0.0,932,PM,2014-11-06,1.5384615384615385,1.0,Quarter 3,3.0
Austin (TX),Public Assist,Normal,Dog,Intact Male,0,others,Intact Male,0,0.0,933,PM,2015-05-29,0.21691973969631237,0.48,Quarter 2,2.0
Austin (TX),Stray,Normal,Dog,Intact Male,1,German Shepherd,Neutered Male,2,0.0,934,PM,2019-06-02,20.0,0.54,Quarter 2,4.0
Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1,Domestic Medium Hair Mix,Intact Male,1,0.0,935,PM,2016-09-14,2.857142857142857,0.6,Quarter 3,9.0
Austin (TX),Stray,Normal,Dog,Intact Male,1,others,Intact Male,1,0.0,936,PM,2017-08-16,0.21691973969631237,0.54,Quarter 2,4.0
Travis (TX),Public Assist,Normal,Dog,Spayed Female,36,others,Spayed Female,36,0.0,937,PM,2017-07-27,0.21691973969631237,0.8,Quarter 2,10.0
Austin (TX),Stray,Normal,Dog,Intact Female,9,others,Spayed Female,10,0.0,938,AM,2019-09-19,0.21691973969631237,0.54,Quarter 3,4.0
Manor (TX),Stray,Normal,Dog,Intact Female,24,others,Spayed Female,24,0.0,939,PM,2015-10-03,0.21691973969631237,0.54,Quarter 3,8.0
Austin (TX),Owner Surrender,Aged,Cat,Neutered Male,144,Domestic Shorthair Mix,Neutered Male,144,0.0,940,AM,2016-10-11,0.38461538461538464,0.7,Quarter 3,13.0
Austin (TX),Stray,Injured,Cat,Intact Male,1,Domestic Shorthair Mix,Neutered Male,1,0.0,941,AM,2018-04-30,0.38461538461538464,0.10800000000000001,Quarter 1,5.0
Austin (TX),Owner Surrender,Normal,Dog,Intact Male,24,Pit Bull Mix,Neutered Male,36,0.0,942,PM,2017-11-04,1.5384615384615385,0.6,Quarter 3,365.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Intact Female,1,0.0,943,PM,2018-06-03,0.38461538461538464,0.54,Quarter 2,5.0
Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,72,others,Neutered Male,72,0.0,944,PM,2013-12-08,0.21691973969631237,1.0,Quarter 3,2.0
Austin (TX),Stray,Injured,Cat,Spayed Female,180,others,Spayed Female,180,0.0,945,PM,2017-04-20,0.21691973969631237,0.18000000000000002,Quarter 1,6.0
Austin (TX),Stray,Normal,Dog,Spayed Female,84,others,Spayed Female,84,0.0,946,PM,2017-03-23,0.21691973969631237,0.9,Quarter 1,0.0
Austin (TX),Stray,Normal,Cat,Intact Male,1,Domestic Shorthair Mix,Intact Male,1,0.0,947,PM,2017-08-29,0.38461538461538464,0.54,Quarter 2,0.0
Austin (TX),Public Assist,Normal,Dog,Spayed Female,48,others,Spayed Female,48,0.0,948,PM,2018-07-27,0.21691973969631237,0.8,Quarter 2,11.0
Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,60,others,Neutered Male,60,0.0,949,AM,2015-01-07,0.21691973969631237,1.0,Quarter 1,5.0
Travis (TX),Stray,Injured,Dog,Intact Female,9,others,Spayed Female,10,0.0,950,AM,2016-12-23,0.21691973969631237,0.10800000000000001,Quarter 3,11.0
Austin (TX),Stray,Normal,Cat,Neutered Male,60,Domestic Shorthair Mix,Neutered Male,60,0.0,951,PM,2013-11-29,0.38461538461538464,0.9,Quarter 3,51.0
Austin (TX),Stray,Normal,Cat,Unknown,0,others,Unknown,0,0.0,952,PM,2019-09-19,0.21691973969631237,0.36000000000000004,Quarter 3,0.0
Austin (TX),Stray,Injured,Cat,Intact Female,2,others,Spayed Female,4,0.0,953,PM,2019-07-13,0.21691973969631237,0.10800000000000001,Quarter 2,42.0
Austin (TX),Stray,Normal,Dog,Neutered Male,7,others,Neutered Male,7,0.0,954,PM,2016-09-04,0.21691973969631237,0.9,Quarter 3,0.0
Austin (TX),Stray,Normal,Cat,Intact Male,2,Domestic Shorthair Mix,Intact Male,2,0.0,955,PM,2014-07-06,0.38461538461538464,0.54,Quarter 2,5.0
Travis (TX),Stray,Injured,Bird,Unknown,1,others,Unknown,1,1.0,956,PM,2019-03-05,0.21691973969631237,0.036000000000000004,Quarter 1,2.0
Austin (TX),Stray,Normal,Dog,Intact Male,2,others,Neutered Male,2,0.0,957,PM,2019-09-07,0.21691973969631237,0.54,Quarter 3,7.0
Manor (TX),Stray,Normal,Cat,Spayed Female,24,Domestic Shorthair Mix,Spayed Female,24,0.0,958,PM,2017-02-11,0.38461538461538464,0.9,Quarter 1,15.0
Austin (TX),Stray,Normal,Cat,Intact Male,1,others,Neutered Male,2,0.0,959,PM,2015-06-01,0.21691973969631237,0.54,Quarter 2,26.0
Austin (TX),Stray,Sick,Dog,Intact Female,2,others,Spayed Female,2,0.0,960,AM,2014-08-02,0.21691973969631237,0.10800000000000001,Quarter 2,19.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,others,Intact Female,1,0.0,961,PM,2019-09-13,0.21691973969631237,0.54,Quarter 3,0.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Intact Female,1,0.0,962,AM,2014-06-23,0.38461538461538464,0.54,Quarter 2,0.0
Austin (TX),Stray,Normal,Cat,Intact Male,1,Domestic Shorthair Mix,Neutered Male,2,0.0,963,AM,2016-10-24,0.38461538461538464,0.54,Quarter 3,6.0
Austin (TX),Stray,Normal,Dog,Intact Male,24,others,Neutered Male,36,0.0,964,PM,2015-05-19,0.21691973969631237,0.54,Quarter 2,3.0
Austin (TX),Public Assist,Normal,Dog,Intact Female,1,Pit Bull Mix,Intact Female,1,0.0,965,PM,2016-05-18,1.5384615384615385,0.48,Quarter 2,8.0
Austin (TX),Stray,Normal,Dog,Neutered Male,48,others,Neutered Male,48,0.0,966,PM,2015-08-20,0.21691973969631237,0.9,Quarter 2,0.0
Austin (TX),Stray,Normal,Cat,Neutered Male,24,others,Neutered Male,24,0.0,967,PM,2014-04-17,0.21691973969631237,0.9,Quarter 1,18.0
Austin (TX),Stray,Normal,Cat,Unknown,1,Domestic Shorthair Mix,Unknown,1,0.0,968,PM,2019-05-03,0.38461538461538464,0.36000000000000004,Quarter 2,0.0
Austin (TX),Stray,Normal,Dog,Neutered Male,48,others,Neutered Male,48,0.0,969,AM,2014-12-15,0.21691973969631237,0.9,Quarter 3,12.0
Austin (TX),Stray,Normal,Dog,Neutered Male,11,Labrador Retriever Mix,Neutered Male,11,0.0,970,PM,2016-05-14,2.0,0.9,Quarter 2,6.0
Austin (TX),Owner Surrender,Medical,Cat,Spayed Female,3,others,Spayed Female,2,0.0,971,PM,2019-12-01,0.21691973969631237,0.8,Quarter 3,15.0
Austin (TX),Stray,Normal,Cat,Intact Female,9,others,Intact Female,10,0.0,972,PM,2014-10-30,0.21691973969631237,0.54,Quarter 3,1.0
Travis (TX),Stray,Normal,Dog,Intact Male,1,others,Neutered Male,1,0.0,973,AM,2018-07-23,0.21691973969631237,0.54,Quarter 2,4.0
Austin (TX),Stray,Normal,Dog,Intact Female,7,others,Spayed Female,8,0.0,974,AM,2019-03-06,0.21691973969631237,0.54,Quarter 1,18.0
Austin (TX),Stray,Normal,Dog,Intact Male,1,others,Intact Male,1,0.0,975,PM,2016-06-22,0.21691973969631237,0.54,Quarter 2,5.0
Austin (TX),Euthanasia Request,Sick,Dog,Neutered Male,120,Miniature Poodle Mix,Neutered Male,120,1.0,976,PM,2016-05-25,7.6923076923076925,0.0,Quarter 2,1.0
Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,1,Pit Bull Mix,Spayed Female,1,0.0,977,PM,2015-12-31,1.5384615384615385,1.0,Quarter 3,15.0
Austin (TX),Stray,Normal,Cat,Intact Male,1,Domestic Shorthair Mix,Neutered Male,2,0.0,978,PM,2015-05-23,0.38461538461538464,0.54,Quarter 2,52.0
Austin (TX),Owner Surrender,Normal,Other,Unknown,1,others,Unknown,1,0.0,979,PM,2017-05-23,0.21691973969631237,0.12,Quarter 2,0.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Intact Female,1,0.0,980,AM,2014-06-18,0.38461538461538464,0.54,Quarter 2,0.0
Austin (TX),Stray,Nursing,Dog,Intact Male,0,Pit Bull Mix,Intact Male,0,0.0,981,PM,2015-04-10,1.5384615384615385,0.43200000000000005,Quarter 1,0.0
Travis (TX),Stray,Normal,Dog,Intact Male,4,Labrador Retriever Mix,Neutered Male,4,0.0,982,PM,2014-01-07,2.0,0.54,Quarter 1,5.0
Austin (TX),Owner Surrender,Normal,Dog,Intact Male,0,others,Intact Male,0,0.0,983,PM,2013-11-04,0.21691973969631237,0.6,Quarter 3,0.0
Austin (TX),Stray,Normal,Cat,Intact Male,1,Domestic Shorthair Mix,Neutered Male,2,0.0,984,PM,2019-05-04,0.38461538461538464,0.54,Quarter 2,33.0
Austin (TX),Stray,Normal,Cat,Intact Female,5,Domestic Shorthair Mix,Intact Female,5,0.0,985,AM,2015-01-20,0.38461538461538464,0.54,Quarter 1,1.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Spayed Female,1,0.0,986,PM,2016-05-05,0.38461538461538464,0.54,Quarter 2,4.0
Austin (TX),Stray,Normal,Cat,Intact Female,24,others,Spayed Female,24,0.0,987,PM,2017-04-03,0.21691973969631237,0.54,Quarter 1,4.0
Austin (TX),Stray,Normal,Dog,Intact Female,5,others,Spayed Female,5,0.0,988,PM,2015-01-27,0.21691973969631237,0.54,Quarter 1,7.0
Travis (TX),Stray,Normal,Dog,Intact Female,24,others,Spayed Female,24,0.0,989,PM,2015-02-13,0.21691973969631237,0.54,Quarter 1,11.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Medium Hair Mix,Spayed Female,5,0.0,990,AM,2016-09-29,2.857142857142857,0.54,Quarter 3,135.0
Austin (TX),Stray,Normal,Dog,Intact Male,1,others,Neutered Male,1,0.0,991,PM,2019-03-08,0.21691973969631237,0.54,Quarter 1,4.0
Pflugerville (TX),Stray,Normal,Cat,Spayed Female,156,Domestic Medium Hair Mix,Spayed Female,156,0.0,992,PM,2017-10-22,2.857142857142857,0.9,Quarter 3,1.0
Austin (TX),Stray,Normal,Other,Unknown,0,others,Unknown,0,0.0,993,AM,2015-11-10,0.21691973969631237,0.10800000000000001,Quarter 3,2.0
Austin (TX),Stray,Normal,Dog,Spayed Female,1,Pit Bull Mix,Spayed Female,1,0.0,994,PM,2018-03-28,1.5384615384615385,0.9,Quarter 1,0.0
Travis (TX),Stray,Normal,Dog,Intact Female,8,others,Spayed Female,8,0.0,995,PM,2019-11-25,0.21691973969631237,0.54,Quarter 3,9.0
Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1,Domestic Shorthair Mix,Intact Male,1,0.0,996,PM,2015-08-06,0.38461538461538464,0.6,Quarter 2,9.0
Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,84,Labrador Retriever Mix,Spayed Female,96,0.0,997,PM,2017-10-11,2.0,1.0,Quarter 3,203.0
Pflugerville (TX),Stray,Normal,Dog,Intact Male,24,Labrador Retriever Mix,Neutered Male,24,0.0,998,PM,2013-12-27,2.0,0.54,Quarter 3,3.0
Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1,Chihuahua Shorthair Mix,Intact Male,1,0.0,999,AM,2013-12-31,1.694915254237288,0.6,Quarter 3,0.0
