Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,binary_outcome,intake_am_pm,intake_time
Austin (TX),Stray,Normal,Unknown,1,Bird,Unknown,1,Parakeet,0.0,AM,2015-04-22
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,rare_dog,0.0,AM,2018-04-29
Austin (TX),Stray,Injured,Spayed Female,156,Dog,Spayed Female,156,rare_dog,1.0,PM,2014-01-29
Austin (TX),Stray,Injured,Intact Male,36,Dog,Intact Male,36,rare_dog,1.0,PM,2014-11-17
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,PM,2015-09-12
Austin (TX),Owner Surrender,Normal,Spayed Female,24,Dog,Spayed Female,24,rare_dog,0.0,PM,2017-11-20
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,rare_dog,0.0,PM,2015-10-27
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,2,Domestic Shorthair,0.0,PM,2017-12-16
Lago Vista (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,rare_dog,0.0,PM,2015-05-24
Outside Jurisdiction,Owner Surrender,Normal,Spayed Female,120,Cat,Spayed Female,120,Domestic Shorthair,0.0,PM,2019-07-13
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,1,Domestic Shorthair,0.0,PM,2014-07-29
Austin (TX),Stray,Normal,Intact Female,5,Dog,Spayed Female,5,Labrador Retriever,0.0,PM,2016-11-16
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,German Shepherd,0.0,PM,2014-02-09
Austin (TX),Stray,Normal,Spayed Female,132,Cat,Spayed Female,132,Domestic Shorthair,1.0,PM,2014-07-13
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,American Staffordshire Terrier,0.0,PM,2014-09-21
Travis (TX),Owner Surrender,Normal,Intact Female,6,Dog,Intact Female,7,rare_dog,0.0,PM,2019-09-15
Austin (TX),Wildlife,Sick,Unknown,24,Other,Unknown,24,Raccoon,1.0,AM,2014-04-11
Austin (TX),Stray,Normal,Spayed Female,36,Dog,Spayed Female,36,Jack Russell Terrier,0.0,AM,2014-12-20
Austin (TX),Stray,Normal,Intact Male,3,Cat,Neutered Male,4,Domestic Shorthair,0.0,PM,2014-07-24
Austin (TX),Public Assist,Normal,Neutered Male,1,Dog,Neutered Male,1,American Staffordshire Terrier,0.0,PM,2014-12-13
Austin (TX),Public Assist,Normal,Intact Male,24,Dog,Intact Male,24,Rat Terrier,0.0,PM,2017-06-04
Pflugerville (TX),Public Assist,Normal,Intact Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,PM,2014-07-09
Austin (TX),Stray,Normal,Spayed Female,96,Dog,Spayed Female,96,rare_dog,0.0,PM,2013-10-20
Austin (TX),Stray,Normal,Intact Male,5,Dog,Intact Male,5,Pit Bull,0.0,PM,2015-06-30
Jonestown (TX),Stray,Normal,Spayed Female,96,Cat,Spayed Female,96,Domestic Medium Hair,1.0,PM,2015-12-17
Austin (TX),Public Assist,Normal,Intact Male,1,Dog,Intact Male,2,Chihuahua Shorthair,0.0,PM,2015-05-17
Outside Jurisdiction,Owner Surrender,Normal,Neutered Male,6,Dog,Neutered Male,6,rare_dog,0.0,PM,2017-06-02
Bee Cave (TX),Stray,Normal,Intact Male,36,Dog,Intact Male,36,rare_dog,0.0,PM,2017-01-10
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,1,Chihuahua Shorthair,0.0,AM,2015-01-08
Austin (TX),Stray,Injured,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,1.0,PM,2018-05-07
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,German Shepherd,0.0,PM,2018-07-20
Austin (TX),Public Assist,Normal,Neutered Male,48,Dog,Neutered Male,48,Dachshund,0.0,AM,2013-12-21
Del Valle (TX),Stray,Nursing,Intact Male,0,Dog,Neutered Male,1,Labrador Retriever,0.0,AM,2017-09-13
Austin (TX),Stray,Normal,Intact Female,2,Cat,Spayed Female,3,Domestic Shorthair,0.0,PM,2015-07-25
Travis (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,PM,2017-05-15
Austin (TX),Owner Surrender,Normal,Intact Male,4,Dog,Neutered Male,4,rare_dog,0.0,PM,2014-08-10
Austin (TX),Stray,Normal,Intact Female,96,Dog,Intact Female,96,rare_dog,0.0,AM,2014-06-26
Austin (TX),Owner Surrender,Normal,Intact Female,1,Dog,Spayed Female,1,rare_dog,0.0,PM,2017-12-05
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,1.0,PM,2015-05-10
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,Chihuahua Shorthair,0.0,AM,2017-11-13
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,Chihuahua Shorthair,0.0,PM,2016-05-16
Austin (TX),Owner Surrender,Normal,Neutered Male,120,Cat,Neutered Male,120,Domestic Longhair,0.0,PM,2019-04-11
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,2,Domestic Shorthair,0.0,PM,2013-11-12
Del Valle (TX),Stray,Normal,Neutered Male,24,Dog,Neutered Male,24,Miniature Poodle,0.0,PM,2014-01-28
Austin (TX),Stray,Injured,Intact Male,24,Dog,Neutered Male,24,rare_dog,0.0,PM,2015-05-30
Austin (TX),Stray,Normal,Spayed Female,84,Dog,Spayed Female,84,German Shepherd,0.0,PM,2013-10-01
Austin (TX),Owner Surrender,Normal,Spayed Female,60,Dog,Spayed Female,60,Labrador Retriever,0.0,PM,2014-10-02
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2019-06-09
Travis (TX),Stray,Injured,Intact Female,24,Dog,Intact Female,24,Pit Bull,0.0,AM,2018-06-23
Austin (TX),Owner Surrender,Normal,Intact Female,3,Cat,Spayed Female,3,Domestic Shorthair,0.0,PM,2018-08-20
Austin (TX),Stray,Normal,Neutered Male,132,Dog,Neutered Male,132,rare_dog,0.0,AM,2016-11-21
Austin (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,rare_dog,0.0,PM,2015-12-18
Austin (TX),Stray,Normal,Intact Female,24,Cat,Intact Female,24,Domestic Shorthair,0.0,PM,2013-11-12
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,Chihuahua Shorthair,0.0,PM,2017-03-07
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,PM,2014-08-15
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,1,Labrador Retriever,0.0,PM,2013-10-16
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,rare_dog,0.0,PM,2015-09-02
Leander (TX),Owner Surrender,Normal,Intact Male,24,Dog,Neutered Male,24,rare_dog,0.0,PM,2018-02-20
Austin (TX),Stray,Nursing,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2016-06-24
Austin (TX),Stray,Normal,Neutered Male,96,Dog,Neutered Male,96,rare_dog,0.0,AM,2014-05-19
Austin (TX),Stray,Injured,Intact Male,24,Dog,Intact Male,24,Jack Russell Terrier,0.0,PM,2017-03-01
Austin (TX),Stray,Normal,Intact Male,0,Dog,Neutered Male,1,Cairn Terrier,0.0,PM,2014-09-17
Austin (TX),Stray,Normal,Neutered Male,60,Dog,Neutered Male,60,rare_dog,0.0,PM,2013-10-18
Austin (TX),Stray,Normal,Intact Female,36,Dog,Spayed Female,36,rare_dog,0.0,AM,2015-06-12
Austin (TX),Owner Surrender,Normal,Intact Female,36,Dog,Spayed Female,36,rare_dog,0.0,PM,2016-05-12
Travis (TX),Stray,Normal,Unknown,0,Cat,Unknown,0,Domestic Shorthair,0.0,PM,2017-07-27
Travis (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,German Shepherd,0.0,AM,2018-08-17
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,Chihuahua Shorthair,0.0,PM,2019-04-27
Austin (TX),Stray,Normal,Intact Male,84,Dog,Intact Male,84,Labrador Retriever,0.0,PM,2016-01-13
Austin (TX),Wildlife,Sick,Unknown,1,Other,Unknown,0,Bat,1.0,AM,2019-09-03
