Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,binary_outcome,intake_am_pm,intake_time,percent,domesticIndex,season,time_spend_shelter
Austin (TX),Stray,Normal,Intact Male,60,Dog,Intact Male,60,rare_dog,0.0,PM,2018-08-31,0.303951367781155,0.54,Quarter 2,1.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,Chihuahua Shorthair,0.0,PM,2019-12-31,0.32786885245901637,0.54,Quarter 3,2.0
Austin (TX),Stray,Normal,Intact Male,2,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2017-06-23,0.303951367781155,0.54,Quarter 2,8.0
Austin (TX),Stray,Normal,Intact Female,3,Cat,Intact Female,3,Domestic Shorthair,0.0,AM,2019-11-18,0.32786885245901637,0.54,Quarter 3,4.0
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,PM,2017-08-02,1.0101010101010102,0.36000000000000004,Quarter 2,11.0
Del Valle (TX),Public Assist,Sick,Intact Male,4,Dog,Intact Male,4,Pit Bull,0.0,PM,2018-08-12,0.303951367781155,0.096,Quarter 2,3.0
Austin (TX),Stray,Normal,Intact Male,36,Dog,Neutered Male,36,Chihuahua Shorthair,0.0,AM,2015-04-02,0.303951367781155,0.54,Quarter 1,4.0
Travis (TX),Stray,Normal,Neutered Male,96,Dog,Neutered Male,96,Labrador Retriever,0.0,PM,2017-08-28,0.7407407407407408,0.9,Quarter 2,10.0
Austin (TX),Stray,Normal,Unknown,3,Cat,Unknown,3,Domestic Shorthair,0.0,PM,2018-01-23,1.0101010101010102,0.36000000000000004,Quarter 1,5.0
Austin (TX),Owner Surrender,Normal,Intact Male,2,Dog,Neutered Male,2,Jack Russell Terrier,0.0,PM,2015-09-10,0.303951367781155,0.6,Quarter 3,3.0
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,PM,2017-08-15,1.0101010101010102,0.36000000000000004,Quarter 2,0.0
Austin (TX),Stray,Normal,Intact Male,2,Cat,Neutered Male,4,Domestic Shorthair,0.0,AM,2017-09-01,0.303951367781155,0.54,Quarter 3,57.0
Manor (TX),Public Assist,Normal,Intact Female,6,Dog,Intact Female,6,rare_dog,0.0,PM,2016-10-07,0.32786885245901637,0.48,Quarter 3,3.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,3,Domestic Shorthair,0.0,PM,2017-06-08,0.32786885245901637,0.54,Quarter 2,64.0
Austin (TX),Stray,Normal,Intact Male,8,Dog,Neutered Male,9,rare_dog,0.0,PM,2013-10-26,0.303951367781155,0.54,Quarter 3,6.0
Austin (TX),Public Assist,Normal,Intact Male,1,Dog,Intact Male,1,Pit Bull,0.0,PM,2019-07-22,0.303951367781155,0.48,Quarter 2,1.0
Austin (TX),Stray,Sick,Intact Male,1,Cat,Intact Male,1,Siamese,1.0,PM,2014-12-02,0.303951367781155,0.10800000000000001,Quarter 3,0.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,2,rare_dog,0.0,PM,2014-06-18,0.303951367781155,0.54,Quarter 2,36.0
Pflugerville (TX),Owner Surrender,Normal,Intact Female,1,Dog,Intact Female,2,Labrador Retriever,0.0,PM,2013-12-16,0.32786885245901637,0.6,Quarter 3,2.0
Austin (TX),Public Assist,Normal,Intact Female,1,Cat,Intact Female,24,Domestic Medium Hair,0.0,PM,2014-06-17,0.32786885245901637,0.48,Quarter 2,4.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,rare_dog,0.0,AM,2018-10-27,0.32786885245901637,0.54,Quarter 3,0.0
Austin (TX),Stray,Normal,Intact Male,48,Dog,Intact Male,48,Chihuahua Shorthair,0.0,PM,2018-03-28,0.303951367781155,0.54,Quarter 1,1.0
Travis (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,rare_dog,0.0,PM,2019-12-02,0.303951367781155,0.54,Quarter 3,0.0
Outside Jurisdiction,Owner Surrender,Sick,Neutered Male,3,Dog,Neutered Male,3,rare_dog,0.0,PM,2016-08-03,0.7407407407407408,0.2,Quarter 2,8.0
Austin (TX),Stray,Normal,Intact Female,9,Dog,Spayed Female,10,Catahoula,0.0,PM,2018-06-04,0.32786885245901637,0.54,Quarter 2,7.0
Austin (TX),Public Assist,Normal,Intact Male,84,Dog,Intact Male,84,Pit Bull,0.0,PM,2015-12-07,0.303951367781155,0.48,Quarter 3,11.0
Austin (TX),Stray,Sick,Intact Male,1,Cat,Intact Male,2,Siamese,0.0,PM,2018-06-20,0.303951367781155,0.10800000000000001,Quarter 2,6.0
Travis (TX),Stray,Normal,Intact Male,4,Dog,Intact Male,5,rare_dog,0.0,AM,2019-07-13,0.303951367781155,0.54,Quarter 2,4.0
Austin (TX),Stray,Sick,Intact Male,1,Cat,Neutered Male,3,Domestic Shorthair,0.0,AM,2019-05-10,0.303951367781155,0.10800000000000001,Quarter 2,65.0
Austin (TX),Stray,Normal,Intact Male,2,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2015-09-22,0.303951367781155,0.54,Quarter 3,5.0
Austin (TX),Owner Surrender,Normal,Neutered Male,2,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2018-06-24,0.7407407407407408,1.0,Quarter 2,2.0
