Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,binary_outcome,intake_am_pm,intake_time,percent,domesticIndex,season,time_spend_shelter
Travis (TX),Stray,Injured,Intact Female,8,Cat,Spayed Female,1,Domestic Shorthair,0.0,AM,2018-12-04,0.32786885245901637,0.10800000000000001,Quarter 3,310.0
Austin (TX),Owner Surrender,Normal,Spayed Female,24,Cat,Spayed Female,24,Domestic Longhair,0.0,AM,2013-11-06,0.7575757575757576,1.0,Quarter 3,53.0
Austin (TX),Stray,Normal,Intact Female,5,Dog,Spayed Female,5,rare_dog,0.0,PM,2014-11-05,0.32786885245901637,0.54,Quarter 3,4.0
Austin (TX),Public Assist,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,PM,2019-04-16,1.0101010101010102,0.09600000000000002,Quarter 1,1.0
Austin (TX),Wildlife,Sick,Unknown,1,Other,Unknown,1,Raccoon,1.0,PM,2014-01-18,1.0101010101010102,0.0,Quarter 1,1.0
Austin (TX),Stray,Sick,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2019-06-03,0.303951367781155,0.10800000000000001,Quarter 2,0.0
Austin (TX),Stray,Normal,Intact Male,0,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2014-12-30,0.303951367781155,0.54,Quarter 3,3.0
Del Valle (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2016-04-28,0.303951367781155,0.54,Quarter 1,40.0
Austin (TX),Stray,Normal,Intact Female,60,Cat,Intact Female,60,Domestic Shorthair,0.0,PM,2017-11-07,0.32786885245901637,0.54,Quarter 3,4.0
Austin (TX),Stray,Normal,Intact Female,36,Dog,Intact Female,36,rare_dog,0.0,PM,2019-04-12,0.32786885245901637,0.54,Quarter 1,1.0
Austin (TX),Stray,Normal,Unknown,1,Other,Unknown,1,rare,0.0,AM,2018-05-06,1.0101010101010102,0.10800000000000001,Quarter 2,4.0
Austin (TX),Stray,Nursing,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,AM,2014-05-04,0.303951367781155,0.43200000000000005,Quarter 2,0.0
Austin (TX),Owner Surrender,Normal,Neutered Male,1,Dog,Neutered Male,1,Pit Bull,0.0,PM,2019-12-01,0.7407407407407408,1.0,Quarter 3,15.0
Austin (TX),Public Assist,Normal,Neutered Male,120,Dog,Neutered Male,120,rare_dog,0.0,AM,2016-02-11,0.7407407407407408,0.8,Quarter 1,5.0
Austin (TX),Wildlife,Normal,Unknown,24,Other,Unknown,24,Bat,1.0,PM,2016-10-17,1.0101010101010102,0.0,Quarter 3,0.0
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,AM,2018-05-05,1.0101010101010102,0.36000000000000004,Quarter 2,0.0
Austin (TX),Stray,Normal,Intact Female,48,Cat,Intact Female,48,Domestic Shorthair,0.0,PM,2014-02-11,0.32786885245901637,0.54,Quarter 1,0.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2016-05-21,0.303951367781155,0.54,Quarter 2,42.0
Austin (TX),Public Assist,Normal,Intact Male,36,Dog,Intact Male,36,American Staffordshire Terrier,0.0,PM,2017-04-28,0.303951367781155,0.48,Quarter 1,8.0
Austin (TX),Wildlife,Sick,Unknown,24,Other,Unknown,24,Raccoon,1.0,PM,2013-12-12,1.0101010101010102,0.0,Quarter 3,0.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,1,Domestic Shorthair,0.0,PM,2017-01-26,0.303951367781155,0.54,Quarter 1,4.0
Austin (TX),Stray,Normal,Intact Female,7,Dog,Spayed Female,8,rare_dog,0.0,PM,2019-03-26,0.32786885245901637,0.54,Quarter 1,5.0
Austin (TX),Stray,Normal,Intact Female,6,Dog,Spayed Female,6,Chihuahua Shorthair,0.0,PM,2015-07-05,0.32786885245901637,0.54,Quarter 2,4.0
Austin (TX),Stray,Normal,Intact Female,24,Dog,Spayed Female,24,Labrador Retriever,0.0,AM,2015-07-06,0.32786885245901637,0.54,Quarter 2,7.0
Austin (TX),Owner Surrender,Normal,Neutered Male,24,Dog,Neutered Male,24,rare_dog,0.0,PM,2018-05-25,0.7407407407407408,1.0,Quarter 2,3.0
Austin (TX),Stray,Normal,Neutered Male,60,Cat,Neutered Male,60,Siamese,0.0,PM,2014-03-02,0.7407407407407408,0.9,Quarter 1,7.0
Del Valle (TX),Stray,Normal,Intact Male,0,Cat,Intact Male,0,Domestic Shorthair,0.0,AM,2014-04-29,0.303951367781155,0.54,Quarter 1,0.0
Pflugerville (TX),Stray,Nursing,Unknown,0,Cat,Unknown,0,Domestic Shorthair,0.0,AM,2016-03-18,1.0101010101010102,0.28800000000000003,Quarter 1,0.0
Austin (TX),Stray,Normal,Intact Female,2,Dog,Intact Female,3,rare_dog,0.0,PM,2014-10-14,0.32786885245901637,0.54,Quarter 3,4.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,Pit Bull,0.0,PM,2016-05-05,0.303951367781155,0.54,Quarter 2,17.0
Austin (TX),Public Assist,Normal,Spayed Female,132,Dog,Spayed Female,132,rare_dog,0.0,PM,2015-03-30,0.7575757575757576,0.8,Quarter 1,6.0
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,PM,2018-08-10,1.0101010101010102,0.0,Quarter 2,2.0
Austin (TX),Stray,Normal,Intact Male,7,Dog,Intact Male,7,Pit Bull,0.0,AM,2017-05-15,0.303951367781155,0.54,Quarter 2,1.0
Austin (TX),Stray,Normal,Unknown,24,Cat,Unknown,24,Domestic Shorthair,0.0,AM,2014-06-29,1.0101010101010102,0.36000000000000004,Quarter 2,1.0
Austin (TX),Owner Surrender,Normal,Spayed Female,156,Dog,Spayed Female,156,Labrador Retriever,0.0,PM,2018-02-16,0.7575757575757576,1.0,Quarter 1,150.0
Austin (TX),Stray,Injured,Unknown,3,Cat,Unknown,3,Domestic Shorthair,1.0,AM,2017-06-17,1.0101010101010102,0.07200000000000001,Quarter 2,0.0
Austin (TX),Stray,Normal,Neutered Male,1,Dog,Neutered Male,1,rare_dog,0.0,AM,2017-05-18,0.7407407407407408,0.9,Quarter 2,1.0
Austin (TX),Stray,Normal,Unknown,24,Cat,Unknown,24,Domestic Shorthair,0.0,PM,2019-04-22,1.0101010101010102,0.36000000000000004,Quarter 1,0.0
Austin (TX),Owner Surrender,Normal,Neutered Male,144,Cat,Neutered Male,156,Domestic Shorthair,0.0,PM,2018-05-09,0.7407407407407408,1.0,Quarter 2,418.0
Austin (TX),Stray,Sick,Intact Male,6,Dog,Intact Male,6,rare_dog,1.0,PM,2017-09-15,0.303951367781155,0.10800000000000001,Quarter 3,0.0
Austin (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,rare_dog,0.0,PM,2016-10-10,0.303951367781155,0.54,Quarter 3,1.0
Austin (TX),Owner Surrender,Normal,Neutered Male,1,Dog,Neutered Male,1,Australian Cattle Dog,0.0,PM,2019-02-11,0.7407407407407408,1.0,Quarter 1,13.0
Leander (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,rare_cat,0.0,PM,2014-05-13,0.32786885245901637,0.54,Quarter 2,1.0
Austin (TX),Stray,Normal,Spayed Female,204,Cat,Spayed Female,204,Siamese,0.0,PM,2015-07-01,0.7575757575757576,0.9,Quarter 2,17.0
Austin (TX),Stray,Nursing,Intact Female,0,Cat,Spayed Female,1,Domestic Shorthair,0.0,AM,2019-04-11,0.32786885245901637,0.43200000000000005,Quarter 1,61.0
Austin (TX),Stray,Normal,Intact Female,2,Cat,Spayed Female,3,Domestic Shorthair,0.0,AM,2019-07-16,0.32786885245901637,0.54,Quarter 2,4.0
Outside Jurisdiction,Owner Surrender,Normal,Spayed Female,48,Dog,Spayed Female,48,Labrador Retriever,0.0,AM,2017-03-12,0.7575757575757576,1.0,Quarter 1,1.0
Austin (TX),Stray,Normal,Neutered Male,72,Dog,Neutered Male,72,Pit Bull,0.0,AM,2015-11-28,0.7407407407407408,0.9,Quarter 3,9.0
Mustang Ridge (TX),Stray,Normal,Intact Female,48,Dog,Spayed Female,48,rare_dog,0.0,PM,2017-05-10,0.32786885245901637,0.54,Quarter 2,19.0
Austin (TX),Stray,Normal,Neutered Male,48,Cat,Neutered Male,48,Domestic Longhair,0.0,AM,2014-04-25,0.7407407407407408,0.9,Quarter 1,15.0
Austin (TX),Stray,Normal,Intact Male,10,Dog,Neutered Male,11,Australian Cattle Dog,0.0,PM,2015-09-29,0.303951367781155,0.54,Quarter 3,5.0
Austin (TX),Stray,Normal,Spayed Female,1,Dog,Spayed Female,1,rare_dog,0.0,PM,2014-02-03,0.7575757575757576,0.9,Quarter 1,0.0
Austin (TX),Stray,Normal,Intact Male,9,Dog,Neutered Male,9,Chihuahua Shorthair,0.0,AM,2017-04-06,0.303951367781155,0.54,Quarter 1,11.0
Travis (TX),Stray,Normal,Intact Female,4,Dog,Spayed Female,5,Pointer,0.0,PM,2014-06-04,0.32786885245901637,0.54,Quarter 2,5.0
Manor (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,Miniature Poodle,0.0,PM,2017-05-11,0.303951367781155,0.54,Quarter 2,4.0
Austin (TX),Owner Surrender,Normal,Intact Female,2,Cat,Intact Female,2,Domestic Shorthair,0.0,PM,2017-10-01,0.32786885245901637,0.6,Quarter 3,5.0
Austin (TX),Stray,Normal,Intact Male,2,Cat,Intact Male,2,Domestic Shorthair,0.0,AM,2013-12-03,0.303951367781155,0.54,Quarter 3,6.0
Cedar Park (TX),Owner Surrender,Normal,Spayed Female,1,Dog,Spayed Female,4,Australian Cattle Dog,0.0,AM,2017-09-13,0.7575757575757576,1.0,Quarter 3,15.0
Austin (TX),Owner Surrender,Normal,Neutered Male,48,Cat,Neutered Male,48,Domestic Medium Hair,0.0,PM,2014-05-21,0.7407407407407408,1.0,Quarter 2,45.0
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,PM,2014-05-02,1.0101010101010102,0.0,Quarter 2,1.0
Austin (TX),Stray,Normal,Intact Female,2,Dog,Spayed Female,3,Chihuahua Shorthair,0.0,PM,2017-07-19,0.32786885245901637,0.54,Quarter 2,5.0
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,Labrador Retriever,0.0,PM,2019-11-22,0.303951367781155,0.54,Quarter 3,11.0
Del Valle (TX),Stray,Normal,Intact Male,48,Dog,Neutered Male,48,rare_dog,0.0,AM,2016-04-20,0.303951367781155,0.54,Quarter 1,1.0
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,PM,2019-05-27,1.0101010101010102,0.0,Quarter 2,0.0
Austin (TX),Stray,Normal,Intact Male,9,Dog,Neutered Male,10,German Shepherd,0.0,PM,2017-09-27,0.303951367781155,0.54,Quarter 3,4.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2019-05-04,0.303951367781155,0.54,Quarter 2,49.0
Austin (TX),Wildlife,Injured,Unknown,1,Other,Unknown,1,rare,1.0,PM,2015-06-12,1.0101010101010102,0.0,Quarter 2,0.0
Austin (TX),Owner Surrender,Normal,Neutered Male,48,Dog,Neutered Male,48,rare_dog,0.0,AM,2017-04-22,0.7407407407407408,1.0,Quarter 1,2.0
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,PM,2019-04-16,1.0101010101010102,0.36000000000000004,Quarter 1,2.0
Austin (TX),Owner Surrender,Normal,Spayed Female,192,Cat,Spayed Female,192,Domestic Shorthair,1.0,PM,2017-08-20,0.7575757575757576,1.0,Quarter 2,82.0
Travis (TX),Stray,Normal,Spayed Female,48,Dog,Spayed Female,48,Australian Cattle Dog,0.0,PM,2019-10-05,0.7575757575757576,0.9,Quarter 3,8.0
Austin (TX),Owner Surrender,Normal,Intact Female,1,Cat,Spayed Female,2,Domestic Shorthair,0.0,PM,2019-08-16,0.32786885245901637,0.6,Quarter 2,60.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,2,Dachshund,0.0,PM,2015-06-29,0.32786885245901637,0.54,Quarter 2,6.0
Travis (TX),Owner Surrender,Normal,Intact Male,5,Cat,Neutered Male,5,Domestic Shorthair,0.0,PM,2015-08-04,0.303951367781155,0.6,Quarter 2,10.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,rare_dog,0.0,AM,2014-07-20,0.32786885245901637,0.54,Quarter 2,132.0
Austin (TX),Stray,Normal,Spayed Female,168,Dog,Spayed Female,180,Miniature Poodle,0.0,AM,2016-10-23,0.7575757575757576,0.9,Quarter 3,11.0
Austin (TX),Owner Surrender,Normal,Intact Male,36,Dog,Intact Male,36,rare_dog,1.0,PM,2018-05-05,0.303951367781155,0.6,Quarter 2,11.0
Austin (TX),Owner Surrender,Normal,Intact Male,7,Dog,Intact Male,7,rare_dog,0.0,PM,2013-12-23,0.303951367781155,0.6,Quarter 3,0.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,AM,2019-05-08,0.32786885245901637,0.54,Quarter 2,5.0
Travis (TX),Stray,Normal,Spayed Female,36,Dog,Spayed Female,36,Pit Bull,0.0,PM,2015-04-22,0.7575757575757576,0.9,Quarter 1,12.0
Travis (TX),Wildlife,Normal,Unknown,24,Other,Unknown,24,Bat,1.0,AM,2019-12-25,1.0101010101010102,0.0,Quarter 3,1.0
Austin (TX),Public Assist,Normal,Spayed Female,228,Dog,Spayed Female,228,Labrador Retriever,0.0,PM,2016-09-28,0.7575757575757576,0.8,Quarter 3,1.0
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,AM,2014-10-31,1.0101010101010102,0.0,Quarter 3,0.0
Austin (TX),Owner Surrender,Normal,Neutered Male,1,Dog,Neutered Male,1,Chihuahua Longhair,0.0,AM,2019-12-14,0.7407407407407408,1.0,Quarter 3,3.0
Austin (TX),Owner Surrender,Sick,Neutered Male,1,Dog,Neutered Male,1,Cairn Terrier,0.0,AM,2019-08-23,0.7407407407407408,0.2,Quarter 2,8.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,rare_dog,0.0,PM,2019-09-15,0.32786885245901637,0.54,Quarter 3,2.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,Pit Bull,0.0,PM,2016-07-03,0.32786885245901637,0.54,Quarter 2,7.0
Austin (TX),Public Assist,Aged,Neutered Male,204,Dog,Neutered Male,204,Chihuahua Shorthair,0.0,PM,2016-09-28,0.7407407407407408,0.5599999999999999,Quarter 3,9.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,1,Labrador Retriever,0.0,PM,2016-05-23,0.303951367781155,0.54,Quarter 2,7.0
Austin (TX),Owner Surrender,Normal,Intact Male,60,Dog,Neutered Male,60,rare_dog,0.0,PM,2019-02-13,0.303951367781155,0.6,Quarter 1,6.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2014-08-30,0.32786885245901637,0.54,Quarter 2,0.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,3,Domestic Shorthair,0.0,PM,2016-06-05,0.32786885245901637,0.54,Quarter 2,60.0
Austin (TX),Owner Surrender,Normal,Neutered Male,36,Dog,Neutered Male,36,rare_dog,0.0,PM,2019-09-20,0.7407407407407408,1.0,Quarter 3,38.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,2,Labrador Retriever,0.0,PM,2017-06-07,0.303951367781155,0.54,Quarter 2,4.0
Austin (TX),Owner Surrender,Normal,Spayed Female,72,Dog,Spayed Female,72,Chihuahua Shorthair,0.0,AM,2016-06-16,0.7575757575757576,1.0,Quarter 2,4.0
Pflugerville (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,PM,2015-06-24,1.0101010101010102,0.36000000000000004,Quarter 2,0.0
Austin (TX),Stray,Normal,Neutered Male,84,Dog,Neutered Male,84,rare_dog,0.0,PM,2017-09-08,0.7407407407407408,0.9,Quarter 3,13.0
Austin (TX),Stray,Normal,Intact Female,2,Dog,Spayed Female,5,German Shepherd,0.0,PM,2016-05-18,0.32786885245901637,0.54,Quarter 2,110.0
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,Pit Bull,0.0,PM,2019-11-30,0.303951367781155,0.54,Quarter 3,30.0
Leander (TX),Owner Surrender,Normal,Intact Female,4,Cat,Spayed Female,4,Domestic Shorthair,0.0,AM,2015-08-22,0.32786885245901637,0.6,Quarter 2,8.0
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,PM,2016-03-14,1.0101010101010102,0.0,Quarter 1,0.0
Austin (TX),Stray,Normal,Intact Female,48,Dog,Spayed Female,48,Australian Cattle Dog,0.0,PM,2018-07-09,0.32786885245901637,0.54,Quarter 2,12.0
Austin (TX),Stray,Injured,Intact Male,6,Cat,Neutered Male,6,Domestic Medium Hair,0.0,AM,2013-11-05,0.303951367781155,0.10800000000000001,Quarter 3,8.0
Austin (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,Pit Bull,0.0,AM,2015-06-11,0.303951367781155,0.54,Quarter 2,20.0
Austin (TX),Public Assist,Normal,Neutered Male,48,Dog,Neutered Male,48,rare_dog,0.0,AM,2016-11-15,0.7407407407407408,0.8,Quarter 3,10.0
Manor (TX),Stray,Normal,Intact Female,8,Dog,Intact Female,8,Catahoula,0.0,PM,2014-01-04,0.32786885245901637,0.54,Quarter 1,4.0
Austin (TX),Owner Surrender,Sick,Neutered Male,36,Cat,Neutered Male,36,Domestic Shorthair,0.0,PM,2014-03-20,0.7407407407407408,0.2,Quarter 1,2.0
Austin (TX),Owner Surrender,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Medium Hair,0.0,PM,2016-05-11,0.303951367781155,0.6,Quarter 2,4.0
Outside Jurisdiction,Public Assist,Normal,Intact Male,24,Dog,Intact Male,24,Labrador Retriever,0.0,PM,2017-09-01,0.303951367781155,0.48,Quarter 3,38.0
Austin (TX),Stray,Normal,Intact Female,3,Dog,Spayed Female,4,rare_dog,0.0,PM,2019-12-02,0.32786885245901637,0.54,Quarter 3,7.0
Austin (TX),Wildlife,Sick,Unknown,24,Other,Unknown,24,Raccoon,1.0,PM,2014-06-09,1.0101010101010102,0.0,Quarter 2,0.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,AM,2015-06-13,0.32786885245901637,0.54,Quarter 2,9.0
Austin (TX),Stray,Nursing,Intact Female,1,Dog,Spayed Female,1,Australian Cattle Dog,0.0,PM,2018-02-13,0.32786885245901637,0.43200000000000005,Quarter 1,26.0
Williamson (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,Miniature Schnauzer,0.0,AM,2019-09-11,0.303951367781155,0.54,Quarter 3,2.0
Austin (TX),Public Assist,Normal,Intact Male,6,Dog,Intact Male,6,Labrador Retriever,0.0,PM,2017-09-13,0.303951367781155,0.48,Quarter 3,9.0
Manor (TX),Public Assist,Normal,Neutered Male,24,Dog,Neutered Male,24,German Shepherd,0.0,PM,2018-11-20,0.7407407407407408,0.8,Quarter 3,27.0
Travis (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,AM,2019-03-26,0.303951367781155,0.54,Quarter 1,0.0
Austin (TX),Wildlife,Injured,Unknown,24,Other,Unknown,24,Raccoon,1.0,AM,2019-06-07,1.0101010101010102,0.0,Quarter 2,0.0
Austin (TX),Stray,Normal,Intact Male,3,Cat,Neutered Male,3,Domestic Longhair,0.0,PM,2017-11-05,0.303951367781155,0.54,Quarter 3,25.0
Travis (TX),Stray,Sick,Intact Male,2,Cat,Neutered Male,5,Domestic Shorthair,0.0,PM,2016-07-13,0.303951367781155,0.10800000000000001,Quarter 2,84.0
Austin (TX),Wildlife,Sick,Unknown,24,Other,Unknown,24,Bat,1.0,PM,2018-09-18,1.0101010101010102,0.0,Quarter 3,0.0
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,PM,2016-05-05,1.0101010101010102,0.0,Quarter 2,0.0
Austin (TX),Stray,Normal,Intact Male,36,Cat,Intact Male,36,Domestic Shorthair,0.0,PM,2015-05-28,0.303951367781155,0.54,Quarter 2,1.0
Austin (TX),Stray,Normal,Spayed Female,96,Cat,Spayed Female,96,rare_cat,1.0,PM,2013-10-30,0.7575757575757576,0.9,Quarter 3,10.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,3,Domestic Shorthair,0.0,AM,2015-05-21,0.32786885245901637,0.54,Quarter 2,59.0
Travis (TX),Stray,Normal,Intact Female,6,Dog,Spayed Female,7,Pit Bull,0.0,PM,2015-03-02,0.32786885245901637,0.54,Quarter 1,12.0
Austin (TX),Stray,Normal,Intact Female,2,Cat,Intact Female,3,Domestic Longhair,0.0,PM,2017-11-02,0.32786885245901637,0.54,Quarter 3,4.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2015-05-22,0.303951367781155,0.54,Quarter 2,51.0
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Medium Hair,0.0,AM,2016-08-03,1.0101010101010102,0.36000000000000004,Quarter 2,0.0
Austin (TX),Stray,Normal,Neutered Male,24,Dog,Neutered Male,24,Labrador Retriever,0.0,PM,2013-12-15,0.7407407407407408,0.9,Quarter 3,13.0
Manor (TX),Stray,Normal,Neutered Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2017-04-14,0.7407407407407408,0.9,Quarter 1,0.0
Austin (TX),Stray,Normal,Neutered Male,60,Cat,Neutered Male,60,Domestic Shorthair,0.0,PM,2017-05-24,0.7407407407407408,0.9,Quarter 2,1.0
Pflugerville (TX),Stray,Normal,Intact Male,48,Dog,Intact Male,48,rare_dog,0.0,PM,2014-07-18,0.303951367781155,0.54,Quarter 2,3.0
Austin (TX),Stray,Normal,Intact Male,2,Cat,Neutered Male,2,Domestic Medium Hair,0.0,PM,2014-05-03,0.303951367781155,0.54,Quarter 2,4.0
Austin (TX),Stray,Normal,Intact Male,96,Dog,Intact Male,96,Pit Bull,1.0,PM,2014-03-26,0.303951367781155,0.54,Quarter 1,6.0
Austin (TX),Stray,Normal,Neutered Male,6,Dog,Neutered Male,6,rare_dog,0.0,PM,2016-10-15,0.7407407407407408,0.9,Quarter 3,4.0
Austin (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,Chihuahua Shorthair,0.0,AM,2017-07-29,0.303951367781155,0.54,Quarter 2,0.0
Austin (TX),Stray,Sick,Intact Female,5,Cat,Intact Female,6,Domestic Shorthair,0.0,PM,2014-04-12,0.32786885245901637,0.10800000000000001,Quarter 1,12.0
Austin (TX),Stray,Normal,Intact Male,2,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2016-08-22,0.303951367781155,0.54,Quarter 2,14.0
Austin (TX),Public Assist,Feral,Neutered Male,48,Cat,Neutered Male,48,Domestic Shorthair,0.0,AM,2015-07-30,0.7407407407407408,0.24,Quarter 2,11.0
Austin (TX),Stray,Normal,Spayed Female,108,Cat,Spayed Female,108,Domestic Shorthair,0.0,PM,2014-10-06,0.7575757575757576,0.9,Quarter 3,11.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2015-08-01,0.303951367781155,0.54,Quarter 2,4.0
Travis (TX),Stray,Normal,Intact Male,36,Cat,Intact Male,36,Domestic Shorthair,0.0,PM,2014-06-09,0.303951367781155,0.54,Quarter 2,2.0
Austin (TX),Public Assist,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,AM,2019-03-26,1.0101010101010102,0.09600000000000002,Quarter 1,0.0
Austin (TX),Owner Surrender,Sick,Spayed Female,120,Dog,Spayed Female,120,Chihuahua Shorthair,1.0,PM,2015-01-06,0.7575757575757576,0.2,Quarter 1,0.0
Austin (TX),Stray,Injured,Neutered Male,48,Cat,Neutered Male,48,Domestic Medium Hair,0.0,AM,2018-01-06,0.7407407407407408,0.18000000000000002,Quarter 1,15.0
Austin (TX),Stray,Normal,Intact Male,2,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2014-09-29,0.303951367781155,0.54,Quarter 3,13.0
Austin (TX),Stray,Normal,Intact Female,24,Cat,Intact Female,24,Domestic Shorthair,0.0,PM,2019-04-04,0.32786885245901637,0.54,Quarter 1,2.0
Austin (TX),Owner Surrender,Normal,Spayed Female,108,Cat,Spayed Female,108,Domestic Medium Hair,0.0,PM,2018-05-30,0.7575757575757576,1.0,Quarter 2,6.0
Austin (TX),Stray,Normal,Intact Female,2,Dog,Intact Female,2,Chihuahua Shorthair,0.0,AM,2017-09-29,0.32786885245901637,0.54,Quarter 3,0.0
Austin (TX),Stray,Normal,Intact Male,4,Cat,Neutered Male,4,Domestic Shorthair,0.0,PM,2016-08-19,0.303951367781155,0.54,Quarter 2,5.0
Austin (TX),Stray,Injured,Neutered Male,72,Dog,Neutered Male,72,Labrador Retriever,0.0,PM,2017-01-21,0.7407407407407408,0.18000000000000002,Quarter 1,21.0
Austin (TX),Stray,Normal,Neutered Male,1,Cat,Neutered Male,24,Domestic Shorthair,0.0,AM,2014-04-05,0.7407407407407408,0.9,Quarter 1,9.0
Travis (TX),Owner Surrender,Normal,Intact Female,36,Dog,Spayed Female,36,rare_dog,0.0,PM,2016-10-12,0.32786885245901637,0.6,Quarter 3,4.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2019-04-03,0.303951367781155,0.54,Quarter 1,106.0
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,PM,2019-04-20,1.0101010101010102,0.36000000000000004,Quarter 1,0.0
Austin (TX),Stray,Normal,Neutered Male,96,Dog,Neutered Male,96,rare_dog,0.0,PM,2015-08-31,0.7407407407407408,0.9,Quarter 2,105.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,rare_dog,0.0,AM,2015-11-04,0.32786885245901637,0.54,Quarter 3,4.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,1,Labrador Retriever,0.0,AM,2017-01-14,0.303951367781155,0.54,Quarter 1,0.0
Travis (TX),Stray,Sick,Intact Female,1,Cat,Intact Female,1,Siamese,0.0,AM,2019-06-12,0.32786885245901637,0.10800000000000001,Quarter 2,0.0
Travis (TX),Stray,Nursing,Intact Male,8,Dog,Intact Male,9,German Shepherd,0.0,PM,2015-06-13,0.303951367781155,0.43200000000000005,Quarter 2,6.0
Austin (TX),Stray,Injured,Intact Male,4,Cat,Neutered Male,4,Siamese,0.0,PM,2015-12-13,0.303951367781155,0.10800000000000001,Quarter 3,28.0
Austin (TX),Owner Surrender,Normal,Neutered Male,72,Dog,Neutered Male,72,rare_dog,0.0,PM,2018-11-27,0.7407407407407408,1.0,Quarter 3,9.0
Austin (TX),Stray,Normal,Intact Female,3,Dog,Spayed Female,3,rare_dog,0.0,AM,2015-06-09,0.32786885245901637,0.54,Quarter 2,5.0
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,PM,2019-09-20,1.0101010101010102,0.36000000000000004,Quarter 3,0.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Medium Hair,0.0,AM,2018-01-05,0.32786885245901637,0.54,Quarter 1,3.0
